2026-03-28T08:30:00Z | Alert: [AUTH] Multiple MFA push requests sent to user: employee1 | SID: 550001 | Source: 88.21.90.7 | Dest: 10.10.1.20 | Priority: 1
2026-03-28T08:32:33Z | Alert: [ACCESS] HR records viewed from privileged console | SID: 550014 | Source: 88.21.90.7 | Dest: 10.10.2.30 | Priority: 1
2026-03-28T08:32:40Z | Alert: [NETWORK] Session pivot to finance reporting system | SID: 550015 | Source: 88.21.90.7 | Dest: 10.10.4.99 | Priority: 1
2026-03-28T08:33:00Z | Alert: [PRIVILEGE] Access to sensitive system granted | SID: 550016 | Source: 88.21.90.7 | Dest: 10.10.4.50 | Priority: 1
2026-03-28T08:33:09Z | Alert: [ALERT] Unusual privilege usage detected | SID: 550017 | Source: 88.21.90.7 | Dest: 10.10.4.50 | Priority: 1
2026-03-28T08:33:20Z | Alert: [DB] Sensitive records queried outside normal user behavior | SID: 550018 | Source: 88.21.90.7 | Dest: 10.10.5.50 | Priority: 1
2026-03-28T08:34:10Z | Alert: [ALERT] Unauthorized access confirmed | SID: 550019 | Source: 88.21.90.7 | Dest: 10.10.5.22 | Priority: 1
2026-03-28T08:34:28Z | Alert: [SECURITY] Potential data exposure detected | SID: 550020 | Source: 88.21.90.7 | Dest: 10.10.5.22 | Priority: 1
2026-03-28T08:29:54Z | Alert: [IDS] SQL injection attempt blocked against portal | SID: 550021 | Source: 201.70.44.9 | Dest: 10.10.7.20 | Priority: 2
2026-03-28T08:30:16Z | Alert: [WAF] XSS payload blocked on customer form | SID: 550022 | Source: 109.22.11.5 | Dest: 10.10.7.21 | Priority: 2
2026-03-28T08:30:20Z | Alert: [FW] RDP brute-force blocked by firewall | SID: 550023 | Source: 190.11.3.44 | Dest: 10.10.7.30 | Priority: 2
2026-03-28T08:30:50Z | Alert: [IDS] Malware download attempt blocked on web proxy | SID: 550024 | Source: 210.40.10.5 | Dest: 10.10.7.80 | Priority: 2
2026-03-28T08:30:45Z | Alert: [ALERT] High API call volume by internal service bot | SID: 550025 | Source: 10.10.4.90 | Dest: 10.10.4.22 | Priority: 3
2026-03-28T08:30:12Z | Alert: [VPN] Contractor temporary account connected successfully | SID: 550026 | Source: 77.33.18.100 | Dest: 10.10.9.9 | Priority: 3
2026-03-28T08:30:13Z | Alert: [ACCOUNT] Password reset requested by helpdesk ticket | SID: 550027 | Source: 10.10.2.88 | Dest: 10.10.2.88 | Priority: 3
2026-03-28T08:30:14Z | Alert: [AUTH] MFA push sent to user: employee2 (single normal request) | SID: 550028 | Source: 41.200.14.3 | Dest: 10.10.1.40 | Priority: 3
2026-03-28T08:30:15Z | Alert: [ACCOUNT] Password change completed after scheduled reminder | SID: 550029 | Source: 10.10.1.11 | Dest: 10.10.1.11 | Priority: 3
2026-03-28T08:30:55Z | Alert: [SESSION] Multiple failed attempts then blocked account: employee9 | SID: 550030 | Source: 95.11.5.11 | Dest: 10.10.1.90 | Priority: 2
2026-03-28T08:31:02Z | Alert: [AUTH] MFA prompt denied by user: employee1 | SID: 550031 | Source: 88.21.90.7 | Dest: 10.10.1.20 | Priority: 2
2026-03-28T08:31:04Z | Alert: [AUTH] MFA prompt denied by user: employee1 | SID: 550032 | Source: 88.21.90.7 | Dest: 10.10.1.20 | Priority: 2
2026-03-28T08:31:06Z | Alert: [AUTH] MFA prompt denied by user: employee1 | SID: 550033 | Source: 88.21.90.7 | Dest: 10.10.1.20 | Priority: 2
2026-03-28T08:33:30Z | Alert: [NETWORK] Access to payroll share from non-typical host | SID: 550034 | Source: 88.21.90.7 | Dest: 10.10.6.10 | Priority: 1
2026-03-28T08:33:40Z | Alert: [ALERT] Data sensitivity policy violation by employee1 session | SID: 550035 | Source: 88.21.90.7 | Dest: 10.10.6.10 | Priority: 1
